nct_id,phase,therapeutic_area,enrollment,duration_months,sponsor_type,start_year,success,status
NCT59007334,Phase III,Cardiology,44,85,NIH,2013,0,Completed-Failed
NCT38433648,Phase III,Infectious Disease,88,51,NIH,2011,0,Completed-Failed
NCT17971379,Phase III,Oncology,471,81,Industry,2018,0,Completed-Failed
NCT13331068,Phase II,Cardiology,30,118,Academic,2009,1,Completed-Success
NCT46810847,Phase III,Other,281,115,Industry,2022,0,Withdrawn
NCT44428803,Phase II,Infectious Disease,11,15,Academic,2013,1,Completed-Success
NCT15654237,Phase I,Oncology,63,29,Industry,2011,1,Completed-Success
NCT71553124,Phase I,Infectious Disease,90,66,Industry,2013,1,Completed-Success
NCT55816038,Phase II,Oncology,1830,115,Academic,2008,0,Terminated
NCT27750764,Phase III,Neurology,98,23,Industry,2021,1,Completed-Success
NCT46898446,Phase III,Neurology,5,91,Academic,2016,1,Completed-Success
NCT33841962,Phase III,Cardiology,7,14,Academic,2010,0,Completed-Failed
NCT76834972,Phase II,Infectious Disease,156,22,Industry,2022,0,Terminated
NCT53156515,Phase II,Neurology,372,107,Industry,2012,1,Completed-Success
NCT32993420,Phase I,Cardiology,260,109,NIH,2019,1,Completed-Success
NCT72190751,Phase II,Neurology,190,63,Academic,2007,1,Completed-Success
NCT31970758,Phase II,Cardiology,848,18,Industry,2006,0,Completed-Failed
NCT46513466,Phase I,Neurology,66,55,Industry,2013,1,Completed-Success
NCT41288562,Phase I,Cardiology,568,106,Academic,2012,0,Terminated
NCT31351509,Phase III,Infectious Disease,12,11,Academic,2008,0,Terminated
NCT33484187,Phase III,Other,38,90,Industry,2006,0,Terminated
NCT71777469,Phase IV,Infectious Disease,9,56,Industry,2018,1,Completed-Success
NCT46093880,Phase IV,Cardiology,98,41,NIH,2006,1,Completed-Success
NCT60441204,Phase III,Oncology,138,76,Academic,2006,1,Completed-Success
NCT91752859,Phase II,Cardiology,176,105,NIH,2011,0,Completed-Failed
NCT54066131,Phase III,Cardiology,162,30,Academic,2016,0,Withdrawn
NCT85415325,Phase III,Oncology,36,16,NIH,2010,1,Completed-Success
NCT45563453,Phase I,Oncology,111,49,Industry,2022,1,Completed-Success
NCT44755914,Phase II,Cardiology,15,19,Academic,2008,0,Withdrawn
NCT60873983,Phase III,Neurology,1146,114,Industry,2017,0,Terminated
NCT63892568,Phase II,Infectious Disease,94,34,Academic,2006,1,Completed-Success
NCT33637222,Phase III,Oncology,71,79,Industry,2012,0,Completed-Failed
NCT12484413,Phase III,Cardiology,1609,55,Industry,2013,0,Terminated
NCT80016224,Phase I,Oncology,23,117,NIH,2008,0,Terminated
NCT49449976,Phase II,Infectious Disease,27,10,NIH,2020,1,Completed-Success
NCT99583549,Phase II,Oncology,28,77,Industry,2014,1,Completed-Success
NCT12235000,Phase I,Oncology,134,115,Academic,2010,1,Completed-Success
NCT33685747,Phase I,Oncology,283,74,Industry,2020,1,Completed-Success
NCT47876684,Phase III,Infectious Disease,450,93,Industry,2014,0,Completed-Failed
NCT82931048,Phase II,Oncology,7030,109,Academic,2017,1,Completed-Success
NCT39859174,Phase II,Infectious Disease,5,62,Industry,2013,1,Completed-Success
NCT46102853,Phase II,Infectious Disease,369,31,NIH,2011,0,Completed-Failed
NCT56159303,Phase IV,Infectious Disease,64,11,Industry,2008,1,Completed-Success
NCT22195226,Phase II,Infectious Disease,61,21,Academic,2008,0,Completed-Failed
NCT57936136,Phase II,Neurology,58,65,Academic,2016,1,Completed-Success
NCT79062973,Phase IV,Oncology,37,105,Industry,2017,1,Completed-Success
NCT24421668,Phase III,Infectious Disease,1857,17,Industry,2008,0,Terminated
NCT31200096,Phase I,Oncology,525,80,Academic,2014,1,Completed-Success
NCT93375337,Phase III,Oncology,153,8,Academic,2011,0,Completed-Failed
NCT33234510,Phase II,Cardiology,1126,68,Industry,2009,0,Completed-Failed
NCT61715898,Phase II,Cardiology,15,113,Industry,2021,1,Completed-Success
NCT55968757,Phase I,Other,20,69,Industry,2022,0,Terminated
NCT10061087,Phase I,Cardiology,5,67,Industry,2015,1,Completed-Success
NCT90705119,Phase III,Other,51,106,Industry,2019,0,Completed-Failed
NCT76653416,Phase II,Oncology,189,11,Industry,2011,1,Completed-Success
NCT95382256,Phase II,Oncology,173,24,Academic,2022,0,Completed-Failed
NCT20274621,Phase III,Oncology,185,23,Academic,2010,0,Completed-Failed
NCT23022704,Phase III,Oncology,17,85,NIH,2022,1,Completed-Success
NCT26816569,Phase I,Infectious Disease,495,92,Academic,2020,0,Withdrawn
NCT17654909,Phase III,Cardiology,212,48,NIH,2006,1,Completed-Success
NCT47814054,Phase I,Oncology,445,106,Academic,2005,1,Completed-Success
NCT94302960,Phase III,Other,8,78,Academic,2015,0,Terminated
NCT25421040,Phase III,Neurology,236,8,NIH,2009,0,Completed-Failed
NCT34210512,Phase IV,Oncology,24,77,Academic,2020,1,Completed-Success
NCT82073914,Phase I,Oncology,81,43,Industry,2005,0,Withdrawn
NCT77922032,Phase I,Oncology,330,73,Academic,2018,1,Completed-Success
NCT43779713,Phase II,Oncology,170,81,NIH,2007,1,Completed-Success
NCT21506305,Phase II,Oncology,41,49,Academic,2006,0,Completed-Failed
NCT30560091,Phase I,Infectious Disease,149,100,Academic,2009,1,Completed-Success
NCT96881845,Phase IV,Oncology,14,94,Academic,2021,0,Withdrawn
NCT17734102,Phase I,Infectious Disease,833,85,NIH,2022,1,Completed-Success
NCT15674719,Phase II,Other,109,68,Industry,2005,0,Completed-Failed
NCT18658144,Phase III,Cardiology,794,47,Academic,2019,0,Completed-Failed
NCT50163712,Phase II,Other,67,69,Industry,2013,0,Completed-Failed
NCT99386386,Phase III,Oncology,67,59,Academic,2009,0,Completed-Failed
NCT95447809,Phase I,Infectious Disease,47,83,Academic,2017,1,Completed-Success
NCT98917675,Phase II,Cardiology,552,82,Industry,2014,1,Completed-Success
NCT54165849,Phase I,Oncology,51,110,Industry,2018,0,Completed-Failed
NCT82586911,Phase I,Oncology,390,76,Academic,2016,1,Completed-Success
NCT78227907,Phase IV,Cardiology,83,81,Industry,2015,1,Completed-Success
NCT88826934,Phase I,Cardiology,7,42,Industry,2011,1,Completed-Success
NCT59905866,Phase II,Infectious Disease,63,119,Academic,2021,0,Terminated
NCT91121402,Phase II,Infectious Disease,25,9,Industry,2022,1,Completed-Success
NCT50657662,Phase II,Infectious Disease,156,7,Industry,2011,1,Completed-Success
NCT16659908,Phase IV,Oncology,24,104,NIH,2010,1,Completed-Success
NCT41378291,Phase I,Oncology,595,49,Industry,2015,0,Terminated
NCT73020641,Phase III,Oncology,129,72,Industry,2016,1,Completed-Success
NCT46634821,Phase IV,Oncology,113,73,Academic,2020,0,Completed-Failed
NCT29433354,Phase III,Other,396,107,Academic,2015,0,Completed-Failed
NCT26887294,Phase IV,Cardiology,630,81,NIH,2020,1,Completed-Success
NCT83422991,Phase I,Cardiology,144,88,NIH,2016,0,Completed-Failed
NCT45562619,Phase II,Oncology,46,79,Academic,2012,0,Completed-Failed
NCT45213498,Phase II,Infectious Disease,10,67,Industry,2007,1,Completed-Success
NCT45703247,Phase III,Oncology,53,6,Industry,2006,0,Terminated
NCT50910172,Phase IV,Oncology,58,22,Industry,2010,1,Completed-Success
NCT72744322,Phase II,Oncology,174,21,Industry,2020,1,Completed-Success
NCT67805563,Phase III,Neurology,88,14,Academic,2019,1,Completed-Success
NCT16404003,Phase I,Cardiology,416,58,Academic,2018,0,Completed-Failed
NCT81244178,Phase III,Infectious Disease,59,78,Industry,2006,1,Completed-Success
NCT61939266,Phase II,Infectious Disease,136,64,Academic,2022,0,Terminated
NCT43267858,Phase IV,Other,876,14,Industry,2018,1,Completed-Success
NCT31114003,Phase III,Oncology,247,17,Industry,2022,1,Completed-Success
NCT96641503,Phase II,Oncology,135,46,Academic,2006,0,Completed-Failed
NCT20421958,Phase I,Oncology,60,20,Industry,2005,0,Completed-Failed
NCT87809459,Phase I,Neurology,57,71,Industry,2006,1,Completed-Success
NCT22984808,Phase I,Other,41,80,Industry,2013,1,Completed-Success
NCT24764960,Phase II,Oncology,65,16,Industry,2013,0,Completed-Failed
NCT60402943,Phase IV,Other,461,13,Academic,2020,1,Completed-Success
NCT86241446,Phase III,Neurology,106,60,NIH,2015,1,Completed-Success
NCT63777024,Phase II,Oncology,19,101,Industry,2010,1,Completed-Success
NCT93494666,Phase I,Infectious Disease,2105,11,Industry,2016,1,Completed-Success
NCT80721464,Phase IV,Infectious Disease,239,58,Academic,2007,1,Completed-Success
NCT94711896,Phase III,Other,17,25,NIH,2016,0,Completed-Failed
NCT89214742,Phase I,Oncology,76,44,Industry,2005,1,Completed-Success
NCT53799966,Phase III,Neurology,175,104,Industry,2013,0,Completed-Failed
NCT20047453,Phase II,Oncology,1913,77,Academic,2010,0,Terminated
NCT45581225,Phase I,Neurology,28,119,Academic,2015,1,Completed-Success
NCT44109026,Phase II,Infectious Disease,641,118,Industry,2007,0,Completed-Failed
NCT52090758,Phase II,Cardiology,1211,112,Academic,2008,0,Completed-Failed
NCT26037627,Phase I,Neurology,57,39,Industry,2014,1,Completed-Success
NCT90337039,Phase IV,Neurology,97,62,Industry,2010,1,Completed-Success
NCT30281689,Phase III,Neurology,31,24,Industry,2005,0,Terminated
NCT67631343,Phase III,Oncology,109,76,NIH,2012,0,Completed-Failed
NCT81450611,Phase II,Cardiology,140,36,Industry,2012,1,Completed-Success
NCT56510960,Phase II,Oncology,399,87,Industry,2010,0,Terminated
NCT42797855,Phase III,Infectious Disease,761,45,Industry,2021,1,Completed-Success
NCT44795514,Phase II,Infectious Disease,48,19,NIH,2005,0,Completed-Failed
NCT15184502,Phase I,Infectious Disease,7,108,Industry,2019,0,Completed-Failed
NCT33448674,Phase II,Infectious Disease,143,105,Industry,2017,0,Withdrawn
NCT65223954,Phase III,Other,230,86,Industry,2007,1,Completed-Success
NCT40948143,Phase II,Oncology,215,42,Academic,2006,0,Terminated
NCT22503247,Phase I,Cardiology,90,49,Industry,2007,0,Completed-Failed
NCT64006163,Phase III,Infectious Disease,178,14,Industry,2013,0,Completed-Failed
NCT61910807,Phase I,Oncology,1441,63,Industry,2020,1,Completed-Success
NCT64847136,Phase II,Oncology,263,25,NIH,2017,1,Completed-Success
NCT83150359,Phase I,Other,84,114,Academic,2022,1,Completed-Success
NCT40831219,Phase II,Other,70,97,Academic,2016,1,Completed-Success
NCT33101383,Phase III,Other,115,55,NIH,2016,0,Withdrawn
NCT27569187,Phase II,Other,1728,25,NIH,2005,0,Completed-Failed
NCT64710375,Phase I,Oncology,112,110,Industry,2012,0,Completed-Failed
NCT64456147,Phase IV,Infectious Disease,144,41,NIH,2021,1,Completed-Success
NCT88110973,Phase IV,Cardiology,71,32,Industry,2011,1,Completed-Success
NCT49501026,Phase IV,Infectious Disease,771,77,Industry,2013,0,Terminated
NCT43163773,Phase I,Infectious Disease,2806,37,NIH,2021,0,Terminated
NCT21310552,Phase II,Infectious Disease,291,6,Industry,2014,1,Completed-Success
NCT41146082,Phase IV,Cardiology,168,22,Industry,2008,1,Completed-Success
NCT31104792,Phase III,Cardiology,156,14,Industry,2011,0,Terminated
NCT31739356,Phase I,Oncology,5,89,Academic,2011,1,Completed-Success
NCT21471761,Phase I,Infectious Disease,453,50,Industry,2012,1,Completed-Success
NCT29576703,Phase II,Cardiology,181,101,Academic,2012,1,Completed-Success
NCT85092305,Phase IV,Cardiology,282,71,NIH,2020,1,Completed-Success
NCT82429249,Phase II,Oncology,51,37,Academic,2016,0,Terminated
NCT28877237,Phase II,Neurology,83,50,Industry,2019,0,Terminated
NCT56918818,Phase I,Oncology,80,14,NIH,2012,0,Terminated
NCT33705256,Phase III,Infectious Disease,687,35,Industry,2013,1,Completed-Success
NCT94504547,Phase III,Neurology,84,89,Industry,2007,0,Terminated
NCT87633091,Phase II,Cardiology,3374,43,Industry,2020,0,Completed-Failed
NCT89452960,Phase III,Oncology,283,65,Academic,2019,1,Completed-Success
NCT65403796,Phase IV,Cardiology,21,6,Industry,2008,1,Completed-Success
NCT33508102,Phase I,Cardiology,122,10,Industry,2020,1,Completed-Success
NCT19405634,Phase II,Neurology,55,68,Industry,2014,0,Completed-Failed
NCT15853584,Phase II,Neurology,5,104,Industry,2015,0,Terminated
NCT34947744,Phase III,Cardiology,1634,41,Academic,2009,0,Withdrawn
NCT58491183,Phase III,Infectious Disease,426,70,Academic,2015,1,Completed-Success
NCT47856186,Phase III,Oncology,330,83,Academic,2017,0,Completed-Failed
NCT58673237,Phase III,Oncology,190,78,Industry,2019,0,Completed-Failed
NCT75293686,Phase II,Infectious Disease,18,99,Industry,2010,1,Completed-Success
NCT11983509,Phase IV,Cardiology,71,29,NIH,2020,0,Withdrawn
NCT28298917,Phase II,Infectious Disease,524,9,Industry,2019,1,Completed-Success
NCT53563237,Phase I,Oncology,30,119,NIH,2015,1,Completed-Success
NCT87729132,Phase III,Oncology,5,83,Industry,2006,0,Terminated
NCT87275698,Phase III,Infectious Disease,105,94,NIH,2006,0,Completed-Failed
NCT83214389,Phase II,Oncology,119,73,Industry,2016,0,Terminated
NCT36365210,Phase IV,Neurology,181,30,Industry,2020,1,Completed-Success
NCT68245345,Phase IV,Oncology,442,79,Academic,2006,1,Completed-Success
NCT37180308,Phase II,Cardiology,386,104,Academic,2021,0,Withdrawn
NCT21326237,Phase IV,Other,218,12,Industry,2018,1,Completed-Success
NCT96343264,Phase I,Oncology,891,111,Academic,2020,1,Completed-Success
NCT71864219,Phase I,Infectious Disease,15,18,Academic,2009,1,Completed-Success
NCT64434670,Phase I,Oncology,316,73,Industry,2014,1,Completed-Success
NCT97692768,Phase IV,Cardiology,379,119,Industry,2021,1,Completed-Success
NCT43255876,Phase III,Cardiology,23,48,Industry,2017,0,Terminated
NCT59114107,Phase I,Infectious Disease,15,62,Industry,2020,1,Completed-Success
NCT25900476,Phase II,Infectious Disease,48,41,Academic,2013,0,Terminated
NCT50820227,Phase III,Other,55,19,Industry,2008,0,Completed-Failed
NCT89688895,Phase I,Oncology,459,87,Industry,2020,0,Withdrawn
NCT97927856,Phase IV,Oncology,59,77,Industry,2015,0,Completed-Failed
NCT63059071,Phase III,Neurology,41,101,Industry,2011,0,Withdrawn
NCT99595920,Phase II,Cardiology,59,32,Industry,2021,1,Completed-Success
NCT22707035,Phase IV,Other,794,111,Industry,2017,1,Completed-Success
NCT15130397,Phase II,Cardiology,151,42,Industry,2008,0,Completed-Failed
NCT80560220,Phase IV,Neurology,113,92,NIH,2018,0,Completed-Failed
NCT46998516,Phase III,Infectious Disease,125,76,Industry,2014,0,Completed-Failed
NCT46481541,Phase III,Neurology,1030,81,Academic,2014,0,Completed-Failed
NCT76385640,Phase I,Other,48,30,Industry,2014,1,Completed-Success
NCT76880548,Phase IV,Cardiology,1067,72,Industry,2016,1,Completed-Success
NCT88384476,Phase II,Oncology,203,95,Industry,2006,1,Completed-Success
NCT52058334,Phase I,Oncology,116,9,Industry,2013,1,Completed-Success
NCT59742523,Phase I,Oncology,6319,111,NIH,2009,1,Completed-Success
NCT49769056,Phase III,Oncology,30,105,NIH,2012,0,Terminated
NCT65174259,Phase II,Oncology,87,84,Academic,2018,0,Withdrawn
NCT66688830,Phase III,Cardiology,23,101,Academic,2011,1,Completed-Success
NCT53369428,Phase IV,Cardiology,619,98,Industry,2011,0,Terminated
NCT24650271,Phase I,Infectious Disease,1870,79,Industry,2013,1,Completed-Success
NCT41725526,Phase III,Cardiology,1816,90,NIH,2007,0,Withdrawn
NCT89348896,Phase I,Oncology,930,21,Academic,2018,0,Completed-Failed
NCT28992383,Phase IV,Oncology,110,116,Academic,2021,1,Completed-Success
NCT80995266,Phase III,Oncology,85,24,Industry,2022,0,Terminated
NCT66877183,Phase II,Infectious Disease,12,34,Industry,2016,0,Terminated
NCT94574185,Phase III,Oncology,3145,56,NIH,2018,1,Completed-Success
NCT11989173,Phase II,Oncology,299,23,Industry,2017,0,Terminated
NCT46635193,Phase II,Infectious Disease,70,63,Industry,2018,0,Completed-Failed
NCT42474983,Phase III,Neurology,1087,49,Industry,2013,0,Terminated
NCT43999533,Phase II,Oncology,34,21,Academic,2006,0,Terminated
NCT24716695,Phase II,Cardiology,273,70,Industry,2015,0,Completed-Failed
NCT73967150,Phase II,Cardiology,114,117,Academic,2021,0,Terminated
NCT73981206,Phase III,Neurology,386,7,Industry,2006,0,Withdrawn
NCT74785345,Phase II,Other,134,61,NIH,2011,0,Completed-Failed
NCT27882750,Phase I,Oncology,16,84,Academic,2022,1,Completed-Success
NCT88725274,Phase III,Oncology,166,108,Industry,2017,1,Completed-Success
NCT70303849,Phase III,Other,715,33,Academic,2009,1,Completed-Success
NCT20192257,Phase I,Infectious Disease,142,70,Industry,2022,1,Completed-Success
NCT53167705,Phase I,Cardiology,474,10,Industry,2020,1,Completed-Success
NCT31130343,Phase I,Cardiology,30,111,NIH,2019,1,Completed-Success
NCT50869792,Phase II,Cardiology,142,27,Industry,2012,1,Completed-Success
NCT59913224,Phase II,Other,58,105,Industry,2019,1,Completed-Success
NCT74356138,Phase III,Other,455,115,Industry,2005,0,Terminated
NCT77607727,Phase III,Cardiology,155,18,Industry,2021,0,Terminated
NCT63007836,Phase III,Oncology,417,70,NIH,2019,0,Terminated
NCT75541801,Phase II,Other,758,21,Industry,2018,1,Completed-Success
NCT68114585,Phase III,Oncology,418,110,NIH,2018,0,Completed-Failed
NCT36658609,Phase II,Oncology,223,91,NIH,2014,0,Withdrawn
NCT86294551,Phase IV,Other,33,69,Industry,2006,1,Completed-Success
NCT40024204,Phase III,Oncology,147,37,Industry,2010,1,Completed-Success
NCT92008891,Phase I,Oncology,66,85,NIH,2021,0,Completed-Failed
